asl_gloss,count,raised,lowered,slightly lowered,slightly raised,raised-furrowed,further raised,further lowered,right raised/left furrowed,left raised/right furrowed,left raised/right lowered,further raised-furrowed
ns-fs-RICK-PERRY,3,3,4,1,0,0,0,0,0,0,0,0
5oh well,3,1,3,0,0,1,0,0,0,0,0,0
ns-fs-JIM,3,3,1,2,1,1,0,1,0,0,0,0
ns-fs-JOE,3,2,0,2,1,1,1,1,0,0,0,0
ns-MCDONALD,3,4,4,1,0,0,0,2,0,0,0,0
MOVING-ON-TO-NEXT-TOPIC,3,0,1,0,0,1,1,0,0,0,0,0
TROPHY_2,3,2,0,1,1,1,0,0,0,0,0,0
MONDAY,3,3,2,2,0,0,0,0,0,0,0,0
CONTACT,3,1,1,0,0,1,1,0,0,0,0,0
ns-fs-FEDEX,3,1,1,0,0,1,1,0,0,0,0,0
SPAGHETTI_2,3,0,0,3,1,3,0,0,0,0,0,0
TWO_2ZEROTHIRTEEN,3,3,0,0,0,0,0,0,0,0,0,0
5that's the way it is,3,2,3,1,3,0,0,1,0,0,0,0
(S)BASEBALL,3,4,2,3,1,0,3,1,0,0,0,0
GROUP/TOGETHER-pl,3,1,1,3,2,0,0,0,0,0,0,0
OFF,3,3,0,3,2,1,0,1,0,0,0,0
GET-UP,3,2,2,0,1,1,0,1,0,0,0,0
SOUTH,3,0,1,4,1,1,0,0,0,0,0,0
j:MOVE:i,3,0,1,3,2,1,0,0,0,0,0,0
LONG,3,1,4,2,1,0,0,1,0,0,0,0
ns-RIT,3,1,0,4,5,0,0,0,0,0,0,0
OLDAGE-SIXHALF,3,3,0,0,0,0,0,3,0,0,0,0
TAKE-continuative,3,1,0,2,5,0,0,0,0,0,0,0
INTERVIEW,3,3,0,0,1,0,0,3,0,0,0,0
DOUBT,3,2,2,4,0,0,2,1,0,0,0,0
SPEND,3,3,0,0,0,2,1,1,0,0,0,0
TAKE-NOTES,3,3,3,0,0,0,0,3,0,0,0,0
OF-COURSE,3,1,2,2,1,0,0,0,0,0,0,0
LOOK-BY-EYE,3,0,3,0,0,3,0,0,0,0,0,0
DCL:baby-Owriting on the test,3,3,2,2,1,1,0,1,0,0,0,0
(5)FIRST-IN-LIST,3,1,0,0,0,1,1,0,0,0,0,0
THROUGH_2,3,0,0,0,1,0,0,0,0,0,0,0
(nd-2)FIRST-AND-SECOND-IN-LIST,3,0,0,0,0,0,0,0,0,0,0,0
LAST-WEEK,3,3,1,0,0,0,1,0,0,0,0,0
fs-SMASHED,3,5,1,2,6,0,1,1,0,0,0,0
fs-COLLIDED,3,3,0,1,5,0,0,0,0,0,0,0
RESEARCH,3,0,2,4,7,0,0,0,0,0,0,0
SAME-LIST,3,4,1,3,4,0,1,0,0,0,0,0
ns-UTAH,3,5,2,1,4,0,3,1,0,0,0,0
SCL:1mentor coming in,3,2,0,1,0,0,0,1,0,0,0,0
(nd-V/2)LIST-ORDER-MIDDLE,3,2,2,2,1,0,0,1,0,0,0,0
MEETING,3,4,1,1,3,0,1,0,0,0,0,0
fs-MPH,3,7,0,5,3,0,2,2,0,0,0,0
ns-fs-BU,3,2,2,1,0,1,0,0,1,0,0,0
fs-CARE,3,0,1,2,0,0,0,0,0,0,0,0
ns-fs-JAMES,3,2,3,0,0,0,0,1,0,0,0,0
BIG_5,3,3,0,0,0,0,0,1,0,0,0,0
ONE-DOLLAR,2,1,0,1,0,1,0,0,1,0,0,0
INSURANCE/INFECTION,2,0,0,1,0,0,0,1,0,0,0,0
EMERGENCY,2,1,2,0,0,0,0,0,0,0,0,0
NOTHING-AT-ALL,2,1,0,1,1,0,0,0,0,0,0,0
fs-SANCTUARY,2,1,0,0,0,2,1,0,0,0,0,0
fs-WASTE,2,2,0,1,0,3,3,0,0,0,0,0
5shocked,2,0,0,0,0,3,1,0,0,0,0,0
fs-OR,2,0,0,0,0,1,1,0,0,0,0,0
VOICE-RANGE_2,2,2,0,0,0,2,1,0,0,0,0,0
fs-CLASS,2,2,3,1,1,1,0,0,0,0,0,0
GIVE-UPfs-UP,2,0,0,0,0,4,2,0,0,0,0,0
fs-WAS,2,0,0,0,0,0,1,0,0,0,0,0
OLDFIFTEEN,2,0,0,0,0,0,2,0,0,0,0,0
DCL:5cover up both noises,2,0,0,0,0,4,4,0,0,0,0,0
DATE/DESSERT,2,1,0,0,0,0,1,0,0,0,0,0
AMONG,2,2,4,0,0,2,2,0,0,0,0,0
BURP,2,1,2,0,0,2,3,0,0,0,0,0
fs-BURP,2,1,2,0,0,2,3,0,0,0,0,0
NATURAL,2,2,4,0,0,2,2,0,0,0,0,0
fs-HUMAN,2,1,2,0,0,1,1,0,0,0,0,0
BODY,2,1,2,0,0,2,2,0,0,0,0,0
fs-PUBLIC,2,3,0,1,1,2,3,0,0,0,0,0
ANYMORE,2,0,0,0,0,0,0,0,0,0,0,0
SCARE,2,1,1,0,0,1,0,0,0,0,0,0
CARE_2,2,0,0,0,0,4,1,0,0,0,0,0
CHURCH,2,1,0,0,0,1,3,0,0,0,0,0
YOUNG,2,3,0,0,0,4,1,0,0,0,0,0
DCL:5emit waste loudly,2,0,0,0,0,2,0,0,0,0,0,0
POPCORN,2,2,0,0,0,2,4,0,0,0,0,0
SELF:i,2,0,0,0,0,2,1,0,0,0,0,0
THINK-OVER,2,1,0,0,0,2,1,0,0,0,0,0
fs-TRY,2,0,3,0,0,2,1,1,0,0,0,0
fs-PISS,2,0,0,0,0,2,1,0,0,0,0,0
IX-3p-pl-circle,2,1,1,0,0,1,1,2,0,0,0,0
BCL:crvd-5holding football,2,0,2,0,0,0,2,4,0,0,0,0
CHAT:j,2,0,0,0,0,2,0,0,0,0,0,0
BCL:Cgrab Bible,2,2,0,0,0,0,4,0,0,0,0,0
DCL:crvd-Bcurve of the toilet bowl,2,0,0,0,0,3,3,0,0,0,0,0
FREE,2,0,1,0,0,3,2,1,0,0,0,0
OWN,2,2,1,1,0,1,0,0,0,0,0,0
THINKLONG-LIST,2,2,0,0,0,2,0,0,0,0,0,0
BCL:Snudge neighbor,2,1,1,0,0,2,3,0,0,0,0,0
DCL:1point to popcorn bucket,2,2,2,0,0,2,6,0,0,0,0,0
PLACE:i,2,4,0,0,0,6,0,0,0,0,0,0
PLACE:j,2,4,0,0,0,6,0,0,0,0,0,0
ENVIRONMENT,2,0,0,0,0,2,2,0,0,0,0,0
1no,2,0,0,0,0,4,0,0,0,0,0,0
ns-fs-DEAN,2,1,0,0,0,4,0,0,0,0,0,0
PROBLEM,2,1,1,0,0,3,1,0,0,0,0,0
EXHAUST,2,2,0,1,2,1,0,0,0,0,0,0
BURN,2,2,0,2,0,1,0,0,0,0,0,0
FRESHMAN,2,4,1,1,1,1,0,0,0,0,0,0
TRADITION,2,4,1,1,1,1,0,0,0,0,0,0
i:GIFT-1p,2,2,0,0,1,0,1,0,0,0,0,0
LOOK-DOWN,2,1,1,1,0,1,1,0,0,0,0,0
COLLAR,2,5,0,2,2,1,0,0,0,0,0,0
IX-1p-pl,2,1,2,0,1,2,0,0,0,0,0,0
BAWL-OUT:i,2,1,1,1,0,0,2,0,0,0,0,0
BED,2,2,1,2,1,0,2,0,0,0,0,0
POSS-3p:i/j,2,2,0,1,2,0,1,0,0,0,0,0
NEXT-TO_2,2,2,0,1,2,0,0,0,0,0,0,0
fs-TRIP,2,0,1,0,0,0,2,0,0,0,0,0
ns-fs-SALLY,2,2,2,0,0,0,0,0,0,0,0,0
FLAT-TIRE_3,2,0,1,0,2,1,0,0,0,0,0,0
ICL:Xspray silly string,2,2,0,0,0,0,0,0,0,0,0,0
ADDICTED,2,1,0,2,1,0,0,0,0,0,0,0
REMIND-1p,2,1,0,0,3,1,1,0,0,0,0,0
(3)ACCIDENT,2,1,0,1,1,0,0,0,0,0,0,0
SUMMON,2,1,0,2,1,0,0,1,0,0,0,0
TROUBLE,2,1,0,2,1,0,0,1,0,0,0,0
BEAT_2,2,1,1,1,1,1,0,0,0,0,0,0
ns-INDIA,2,2,0,0,3,0,0,0,0,0,0,0
SUPPORT,2,1,0,0,2,0,0,0,0,0,0,0
fs-IPOD,2,2,1,1,1,1,0,1,0,1,0,0
TIE_2FISHING,2,2,2,2,0,0,0,0,0,0,0,0
MAKE-IT,2,2,2,1,3,2,0,0,0,0,0,0
UP,2,2,0,1,0,0,1,1,0,0,0,0
LIGHT-FLASH,2,2,0,0,1,0,0,0,0,0,0,0
fs-PC,2,3,0,1,1,0,0,0,0,0,0,0
EMPTY/EARLY,2,2,2,4,1,0,0,0,0,0,0,0
BACK,2,2,0,0,0,1,0,0,0,0,0,0
OVERSLEEP,2,1,0,0,2,0,0,0,1,0,0,0
CHECK,2,2,0,0,0,0,0,1,0,0,0,0
SCL:crvd-Vhorse galloping,2,2,1,0,2,0,1,0,0,0,0,0
END,2,2,1,0,1,0,0,0,0,0,0,0
HATE,2,2,0,0,0,1,1,0,0,0,0,0
BALANCE,2,1,1,0,0,2,0,1,0,0,0,0
FLOW,2,2,2,2,2,0,0,0,0,0,0,0
COUNTRY,2,2,0,2,2,2,0,0,0,0,0,0
FRESH,2,3,1,0,1,0,0,0,0,0,0,0
EACHONE-pl-arc,2,2,0,0,0,0,0,2,0,0,0,0
BILL/OWE,2,1,2,2,2,0,0,0,0,0,0,0
FLAT/FLOOR,2,1,0,1,1,1,0,0,0,0,0,0
KEEP,2,2,1,2,0,0,0,0,0,0,0,0
i:TURN:j,2,2,2,1,1,2,0,0,0,0,0,0
GARAGE/SUBMARINE,2,0,3,1,1,0,0,0,0,0,0,0
TWICE,2,3,4,0,0,0,0,0,0,0,0,0
WRESTLE,2,3,0,0,2,0,0,3,0,0,0,0
RECORD,2,2,0,0,1,1,0,0,0,0,0,0
(X-over-thumb)CELEBRATE,2,2,0,1,1,1,0,1,0,0,0,0
THINKBURST,2,2,2,0,0,2,0,0,0,0,0,0
(bent-1)POSS-1p,2,3,1,1,1,0,0,0,0,0,0,0
DCL:crvd-5clouds moving in,2,1,1,0,3,0,0,1,0,0,0,0
FEW/CLOSE,2,1,1,1,1,0,0,1,0,0,0,0
fs-OCEAN,2,1,1,1,1,0,0,1,0,0,0,0
ANALYZE_2,2,0,0,0,0,4,3,0,0,0,0,0
DCL:bent-B-Lclose envelope,2,4,0,0,0,4,0,0,0,0,0,0
A-LEVEL-ABOVE,2,2,1,0,0,2,1,0,0,0,0,0
GOOD,2,1,2,1,1,1,1,0,0,0,0,0
VIDEOTAPE,2,2,1,1,1,1,1,0,0,0,0,0
NINETEEN_2NINETY-NINE,2,2,2,0,0,2,2,0,0,0,0,0
DCL:flat-Orip paper slowly,2,0,0,0,0,2,1,0,0,0,0,0
fs-NOISY,2,1,0,0,0,5,5,0,0,0,0,0
DCL:5-C-Lnails on a chalkboard,2,2,0,0,0,4,4,0,0,0,0,0
fs-STATUS,2,0,0,0,0,3,2,0,0,0,0,0
DCL:Sclanking things,2,0,0,0,0,2,0,0,0,0,0,0
BACKWARD_2,2,1,1,0,0,2,1,2,0,0,0,0
DCL:flat-Orip paper fast,2,0,0,0,0,2,0,0,0,0,0,0
ANIMAL,2,2,2,3,0,0,1,0,1,0,0,0
ADVISE/INFLUENCEAGENT,2,2,0,0,0,0,0,2,0,0,0,0
DISTRIBUTE,2,1,3,0,0,0,0,1,0,0,0,0
NOWAFTERNOON,2,2,0,0,0,0,0,0,0,0,0,0
APPOINTMENT,2,1,1,1,0,0,0,0,0,0,0,0
NOWAFTERNOON_2,2,0,2,0,0,0,0,0,0,0,0,0
CONFRONT,2,0,0,0,2,1,0,0,0,0,0,0
PASTALL-NIGHT,2,2,0,0,0,0,0,0,0,0,0,0
INNOCENT,2,0,1,1,0,0,2,0,0,0,0,0
OPPOSITE,2,2,2,1,2,0,0,0,0,0,0,0
SET-UP:i,2,0,1,0,0,1,2,0,0,0,0,0
STRUGGLE-continuative,2,1,0,0,0,2,2,0,0,0,0,0
fs-ORIENTED,2,1,1,0,0,3,2,0,0,0,0,0
fs-OH,2,1,0,0,0,2,0,0,0,0,0,0
THINKMARRY,2,2,0,2,0,0,0,0,0,0,0,0
ns-fs-AMY,2,1,1,2,2,0,0,0,0,0,0,0
i:GIVE-1p,2,1,0,0,2,0,0,0,0,0,0,0
fs-SUNBURN,2,0,0,0,2,0,2,0,0,0,0,0
BAWL-OUT,2,3,2,0,1,0,0,0,0,0,0,0
ZOOM,2,4,1,1,2,1,0,0,0,0,0,0
DO-IT,2,1,0,0,1,0,1,0,0,0,0,0
SELF-1p,2,1,1,1,1,0,0,0,0,0,0,0
fs-LOOP,2,2,0,0,2,6,0,0,0,0,0,0
fs-QUALITY,2,0,3,0,0,1,1,2,0,0,0,0
APPLY_2,2,2,0,0,0,4,0,0,0,0,0,0
QUESTION,2,4,0,1,0,0,0,0,0,0,0,0
SCL:Vperson levitating,2,0,0,0,0,2,0,0,0,0,0,0
TOTAL,2,0,0,0,0,2,0,1,0,0,0,0
fs-MUTE,2,1,0,0,2,1,0,0,0,0,0,0
5not know what to do,2,0,0,0,4,2,0,0,0,0,0,0
FAST_2,2,3,0,0,0,3,0,0,0,0,0,0
"5so, all set",2,1,0,3,1,2,0,0,0,0,0,0
POUND/WEIGH,2,1,0,0,0,1,1,0,0,0,0,0
BCL:crvd-5swashbuckler like,2,1,0,0,2,4,0,0,0,0,0,0
STRONG,2,1,0,1,1,3,0,0,0,0,0,0
fs-OWN,2,0,2,0,2,1,0,0,0,0,0,0
fs-TEMPO,2,1,1,0,1,2,0,1,0,0,0,0
TOTAL_2,2,1,1,2,1,2,0,1,0,0,0,0
EXACT,2,2,0,0,0,4,1,0,0,0,0,0
HISTORY,2,1,0,0,0,1,0,1,0,0,0,0
(A)PLACE,2,0,0,1,0,2,1,0,0,0,0,0
OCCASIONALLY,2,1,0,0,1,2,0,0,0,0,0,0
LOOK-recip,2,2,3,1,2,0,0,0,0,0,0,0
INTERPRETAGENT,2,2,0,0,0,0,4,0,0,0,0,0
ACCOMMODATE,2,3,1,1,0,5,1,2,0,0,0,0
POWER,2,2,1,1,0,0,0,0,0,0,0,0
PLAYAGENT,2,2,0,0,0,2,0,0,0,0,0,0
BPCL:1going over natural voice range,2,3,0,0,1,0,0,0,0,0,0,0
ns-fs-IOWA,2,2,0,0,0,4,1,0,0,0,0,0
fs-CAUCUS,2,1,2,1,0,3,0,1,0,0,0,0
INTERNATIONAL,2,3,0,1,0,2,0,0,0,0,0,0
FREQUENTLY,2,1,0,0,0,2,1,0,0,0,0,0
EXCHANGE,2,2,2,0,2,4,0,0,0,0,0,0
DCL:fanned-Ogrumbling,2,2,2,0,2,4,0,0,0,0,0,0
DCL:fanned-Othroat grumble,2,2,1,0,2,3,0,0,0,0,0,0
FLAT/LEVEL,2,2,0,1,0,2,0,0,0,0,0,0
ns-nat-AUSTRALIA,2,0,0,2,1,1,0,0,0,0,0,0
OLDNINE,2,0,0,0,0,2,0,0,0,0,0,0
DELETE,2,2,0,0,2,2,1,0,0,0,0,0
MANAGE/CONTROLAGENT,2,4,2,4,0,0,0,0,2,0,0,0
GENERAL,2,1,1,0,0,1,0,0,0,0,0,0
DCL:fanned-flat-Othroat,2,0,2,0,0,2,0,2,0,0,0,0
SOMEONE,2,2,0,0,0,2,0,0,0,0,0,0
5set,2,0,0,0,1,1,0,0,0,0,0,0
DCL:Sheavy lifting,2,0,0,0,0,2,0,0,0,0,0,0
THIRD-PLACE_2,2,0,4,2,0,2,0,2,0,0,0,0
TALK-OVER,2,0,2,1,0,2,0,1,0,0,0,0
fs-INTELLIGIBLE,2,1,2,0,1,0,0,0,0,0,0,0
fs-GRUNTS,2,2,1,0,0,0,0,0,0,0,0,0
i:INFORM-1p,2,2,1,1,2,0,0,1,0,0,0,0
alt.LIE,2,0,1,2,2,0,1,0,0,0,0,0
ns-fs-PAUL,2,4,0,1,0,0,0,1,0,0,0,0
LEND,2,1,0,1,0,0,0,0,0,0,0,0
1p-TELL:i,2,1,1,1,0,0,1,1,0,0,0,0
SCL:V/2two of them go together,2,2,0,0,2,0,0,0,0,0,0,0
ns-NEW-YORK_2,2,1,2,1,0,1,1,0,0,0,0,0
fs-GLOBE,2,2,2,0,1,0,2,0,0,0,0,0
SCL:5-Cbig house,2,1,1,1,1,0,0,1,0,0,0,0
GUITAR,2,2,0,1,1,0,0,0,0,0,0,0
fs-REOPEN,2,0,0,0,0,0,0,0,0,0,0,0
(alt-G/bent-L)POSS-1p,2,1,1,1,0,0,0,0,0,0,0,0
DCL:Bpathway of sign language,2,0,0,0,0,1,1,0,0,0,0,0
ED,2,0,0,2,1,2,1,0,0,0,0,0
PRACTICE,2,1,0,0,0,1,1,1,0,0,0,0
2p-ASK:i,2,0,2,0,0,0,0,2,0,0,0,0
TUBING,2,2,2,0,1,0,0,0,0,0,0,0
WATERDCLround flat,2,2,0,0,0,0,0,0,0,0,0,0
ns-fs-HARRY,2,3,3,1,0,0,0,0,0,0,0,0
SCL:U-Lperson passed out,2,2,0,0,0,0,0,0,0,0,0,0
SUNSHINE_2,2,2,1,0,2,0,1,0,0,0,0,0
BOTH,2,2,0,0,2,1,0,0,0,0,0,0
CELEBRATE,2,3,0,0,1,0,0,0,0,0,0,0
CRASH,2,1,0,1,1,0,0,0,0,0,0,0
DCL:U-Lhorse running,2,3,1,1,1,0,1,0,0,0,0,0
EXPENSIVE,2,0,3,1,1,0,1,0,0,0,0,0
SCL:1person approaching,2,2,0,1,0,0,0,0,0,0,0,0
j:GIVE-indef,2,2,0,0,0,0,0,0,0,0,0,0
COW,2,0,1,0,1,0,0,0,0,0,0,0
BEST,2,1,4,0,0,1,1,1,0,0,0,0
CHEAPMOST,2,4,0,0,0,0,0,0,0,0,0,0
fs-ELECTION,2,2,0,1,2,1,0,1,0,0,0,0
ns-IRELAND,2,3,0,1,1,0,0,0,0,0,0,0
THAT:i,2,2,2,0,0,0,0,0,0,0,0,0
SMALL-AMOUNT,2,2,0,2,0,0,0,0,0,0,0,0
LOSE,2,1,1,1,0,0,0,0,0,0,0,0
TEAM,2,2,0,0,0,1,1,2,0,0,0,0
ON-TIME,2,1,1,0,0,0,1,0,0,0,0,0
SECOND,2,1,0,1,0,0,1,0,0,0,0,0
MONEY_2,2,1,1,1,2,0,0,0,0,0,0,0
SHEET-CAKE,2,0,0,1,1,1,1,0,0,0,0,0
TIMEDCLcircular object,2,2,2,0,0,0,0,0,0,0,0,0
THUMB-IX-3p:i,2,1,1,2,1,1,0,0,0,0,0,0
AGENT,2,3,0,0,2,1,0,1,0,0,1,0
STEAL,2,1,1,1,2,0,0,1,0,0,1,0
MOUSE/FICTION,2,0,2,0,1,2,0,0,0,0,0,0
CHASE,2,1,0,1,1,1,0,0,0,0,0,0
2p-GIVE-1p,2,2,1,1,0,0,0,0,0,0,0,0
COMPUTER_5,2,2,1,1,2,0,0,0,0,0,0,0
5panic,2,1,1,1,3,0,0,0,0,0,0,0
ns-AA,2,4,0,2,0,0,0,0,0,0,0,0
STUCK,2,2,2,1,0,0,1,0,0,0,0,0
fs-MARATHON,2,3,0,0,0,1,0,0,0,0,0,0
EIGHT,2,2,2,0,0,0,0,1,0,0,0,0
NINE,2,2,2,0,0,0,0,1,0,0,0,0
TEN,2,0,1,0,1,0,0,1,0,0,0,0
ns-fs-SARAH-JESSICA-PARKER,2,1,0,0,1,0,0,1,0,0,0,0
ns-fs-SARAH-PALIN,2,1,0,0,0,0,0,1,0,0,0,0
FRIDAY,2,1,0,1,0,0,0,1,0,0,0,0
SPRING,2,1,1,0,0,0,1,1,0,0,0,0
COAT,2,1,3,1,0,0,0,0,0,0,0,0
EATMORNING,2,0,2,2,0,0,0,0,0,0,0,0
HURRICANE,2,3,1,1,0,0,2,0,0,0,0,0
FIVE,2,0,0,0,4,0,0,1,0,0,0,0
BACK_2,2,0,0,0,0,0,0,2,0,0,0,0
ns-fs-NETFLIX,2,2,0,1,3,0,0,1,0,0,0,0
fs-DVD,2,2,0,1,3,0,0,1,0,0,0,0
ns-fs-LIZ,2,0,1,0,0,0,0,0,0,0,0,0
ns-fs-MITT-ROMNEY,2,2,3,1,0,0,0,0,0,0,0,0
NUTBUTTER,2,0,6,0,0,0,0,2,0,0,0,0
ns-fs-BETH,2,0,4,0,0,1,0,2,0,0,0,0
LOSE-COMPETITIONPCL:V/2many games,2,4,0,0,0,0,0,0,0,0,0,0
ENOUGH,2,2,0,1,0,0,0,1,0,0,0,0
fs-SUSHI,2,2,2,1,0,0,0,0,0,0,0,0
ns-fs-NEWTON,2,3,2,2,4,0,0,0,0,0,0,0
BREAKENTER,2,4,0,2,4,0,0,0,0,0,0,0
ns-BROOKLINE,2,3,2,2,4,0,0,0,0,0,0,0
DANGER,2,2,1,1,1,1,0,1,0,0,0,0
APT,2,1,2,0,1,0,0,2,0,0,0,0
ns-fs-JEN,2,1,0,1,0,1,1,0,0,0,0,0
HAMBURGER,2,2,2,1,0,0,0,1,0,0,0,0
ns-fs-ALEC-BALDWIN,2,3,0,2,2,0,0,0,0,0,0,0
ECONOMIC,2,2,1,1,1,0,1,0,0,0,0,0
B,2,2,0,0,0,2,1,0,0,0,0,0
INFORM-ALL,2,0,0,0,0,2,0,0,0,0,0,0
IX-3p:o,2,0,0,0,0,6,6,0,0,0,0,0
N,2,0,0,0,0,6,5,0,0,0,0,0
MAJOR:j,2,0,0,0,0,2,2,0,0,0,0,0
SET-UP:j,2,0,1,0,0,1,1,0,0,0,0,0
GROUP/TOGETHER:i,2,1,0,3,1,1,1,0,0,0,0,0
GROUP/TOGETHER:j,2,1,0,3,1,1,1,0,0,0,0,0
STRUGGLE,2,1,2,2,0,2,1,1,0,0,0,0
(F)NONE/NOTHING,2,0,0,0,0,2,1,0,0,0,0,0
SCL:crvd-Vhopping in a new group,2,0,0,0,0,2,2,0,0,0,0,0
CLOSE-GATE,2,1,2,0,0,0,1,1,0,0,0,0
CHOOSE,2,1,0,1,1,2,0,0,0,0,0,0
NEGLECT,2,2,0,2,1,1,0,0,0,0,0,0
alt.EAT,2,3,2,1,1,1,0,1,0,0,0,0
CARAGENT,2,2,2,2,2,0,0,0,0,0,0,0
fs-KEY,2,2,2,2,1,0,1,0,0,0,0,0
WRITE_2,2,2,2,0,1,0,1,1,0,0,0,0
fs-EXAM,2,1,1,2,2,0,0,0,0,0,0,0
fs-STORM,2,2,1,0,1,0,1,0,0,0,0,0
ns-PUERTO-RICO,2,1,1,0,3,1,0,0,0,0,0,0
fs-HORROR,2,3,0,1,1,0,0,0,0,0,0,0
LAZY,2,2,1,2,2,0,1,0,0,0,0,0
alt.INVITE/HIRE,2,2,1,1,1,0,0,0,0,0,0,0
EASYMOST,2,4,2,0,2,0,0,0,0,0,0,0
LICENSE,2,2,1,0,0,1,0,0,0,0,0,0
DECORATE,2,2,1,0,3,1,1,0,0,0,0,0
BAKING-SPRINKLES,2,2,2,1,4,1,0,0,0,0,0,0
KICK-OFF,2,1,1,2,0,0,1,0,0,0,0,0
RESUME,2,1,1,2,1,1,0,1,0,0,0,0
PARTY-HARD,2,2,1,1,2,0,0,0,0,0,0,0
DCL:5person growing up,2,1,0,0,1,0,0,1,0,0,0,0
AGE-SIXHALF,2,0,0,0,2,0,0,0,0,0,0,0
5well,2,0,0,0,0,0,0,0,0,0,0,0
(crvd-V)MOVE,2,0,0,0,2,0,0,0,0,0,0,0
DORM,2,0,0,0,1,0,0,0,0,0,0,0
MOST,2,1,1,1,1,0,0,0,0,0,0,0
LONGMOST,2,0,0,0,0,0,0,0,2,0,0,0
ns-IBM,2,2,0,4,2,0,0,0,0,0,0,0
OVER/AFTERSCHOOL,2,0,0,0,0,0,0,0,0,0,0,0
TWELVEHALF,2,0,0,2,2,0,0,0,0,0,0,0
SIXHALF,2,0,0,2,2,0,0,0,0,0,0,0
MOVE-AROUND,2,0,1,1,2,1,0,0,0,0,0,0
SCL:1John and Mary walk together,2,0,2,2,0,0,0,0,0,0,0,0
SHUCKS,2,1,0,0,2,0,0,0,1,0,0,0
COMPUTER,2,3,0,0,0,2,0,1,0,0,0,0
NOWMORNING,2,2,2,0,0,0,0,2,0,0,0,0
MORMON_2,2,2,2,0,0,0,0,0,0,0,0,0
SIX_2ZERO_3,2,4,2,0,0,0,0,0,0,0,0,0
FIVESIX_2,2,4,2,0,0,0,0,0,0,0,0,0
SOUP,2,2,0,0,2,0,0,2,0,0,0,0
GOOD/THANK-YOUNIGHT,2,0,0,0,0,0,0,0,0,0,0,0
FLY-BY-PLANE,2,0,4,1,2,0,1,0,0,0,0,0
"5ok, hey",2,1,3,1,2,0,3,1,0,0,0,0
fs-SYNTAX,2,1,0,1,0,0,0,0,0,0,0,0
MISUNDERSTAND,2,1,0,0,3,0,1,0,0,0,0,0
NINETEEN,2,1,2,0,0,0,0,1,0,0,0,0
CHECKfs-LIST,2,2,2,0,0,0,0,2,0,0,0,0
ANYTIME,2,2,0,0,0,0,2,0,0,0,0,0
5trepidation,2,1,0,0,0,0,2,0,0,0,0,0
5reassure,2,1,4,0,1,1,0,1,0,0,0,0
fs-PROCTOR,2,0,2,1,0,1,0,0,0,0,0,0
DOpart:indef,2,6,0,0,0,4,0,0,0,0,0,0
alt.VOICE,2,0,2,0,0,0,0,0,0,0,0,0
ns-fs-SAT,2,2,1,1,3,0,0,0,0,0,0,0
HEARINGPERSON,2,2,2,0,0,0,0,0,0,0,0,0
FORMERLY,2,2,0,0,2,0,0,0,0,0,0,0
THINKSHOCK,2,0,0,0,0,2,0,0,0,0,0,0
WHATACTION,2,0,2,0,0,2,0,4,0,0,0,0
CURRENT-TOPIC,2,0,0,0,0,0,0,0,0,0,0,1
MINOR,2,0,0,0,0,0,0,0,0,0,0,0
EXPAND,2,0,2,0,0,0,0,0,0,0,0,0
THINKMEAN,2,0,0,0,2,0,0,0,0,0,0,0
ns-fs-BARACK-OBAMA,2,0,0,1,1,1,1,0,0,0,0,0
DCL:Cgroup go together,2,2,1,1,1,0,0,1,0,0,0,0
TRACK-THUMB,2,3,1,2,4,0,0,0,0,0,0,0
TRACK-IX,2,3,1,2,4,0,0,0,0,0,0,0
TRACK-MIDDLE,2,3,1,2,4,0,0,0,0,0,0,0
TRACK-RING,2,3,1,2,4,0,0,0,0,0,0,0
fs-CANCER,2,3,1,3,1,0,0,1,0,0,0,0
SCREEN/FILTER,2,1,0,1,0,0,0,0,0,0,0,0
ASK_2,2,3,1,2,1,0,0,0,0,0,0,0
ns-TENN,2,4,1,1,3,0,0,0,0,0,0,0
INTERRUPT,2,2,3,3,0,0,0,1,0,0,0,0
ASK_2-3p-pl-arc,2,2,1,1,2,0,0,0,0,0,0,0
fs-LINK,2,2,1,2,0,0,0,0,0,0,0,0
NEGATIVE,2,4,1,3,3,0,0,1,0,0,0,0
INCLUDE/INVOLVE-1p,2,1,1,3,4,1,2,1,0,0,0,0
CITY/COMMUNITY,2,1,1,0,6,1,2,1,0,0,0,0
fs-MODEL,2,1,0,0,0,0,0,1,0,0,0,0
5focus,2,1,0,2,0,0,0,1,0,0,0,0
OPPORTUNITY,2,0,1,1,2,0,0,0,0,0,0,0
fs-INTERVENTION,2,2,3,1,1,0,0,1,0,0,0,0
INTERRUPT:i,2,1,2,4,2,0,0,1,0,0,0,0
SPECIALTYAGENT,2,2,0,0,0,0,0,0,0,0,0,0
AUDIOLOGYAGENT,2,2,0,0,0,0,0,0,0,0,0,0
NURSE,2,2,1,1,3,0,0,0,0,0,0,0
SOCIAL-WORK,2,1,0,2,0,0,0,0,0,0,0,0
fs-BE,2,0,1,1,3,0,1,1,0,0,0,0
INFORMSUBLIMINAL-INFLUENCE,2,0,0,0,0,0,0,0,0,0,0,0
NOW-WEEK,2,2,0,1,0,1,0,0,0,0,0,0
STAR,2,1,0,2,0,1,0,1,0,0,0,0
(5)NOT,2,0,0,2,0,0,0,0,0,0,0,0
